E1_P01_X,E1_P01_Y,E1_P02_X,E1_P02_Y,E1_P03_X,E1_P03_Y,E1_P04_X,E1_P04_Y,MEAN_X,MEAN_Y
9.63047963547394E-06,0.312522762053715,1.07887850250956E-05,0.317032815282548,1.08618921586734E-05,0.283311711416331,7.64874628875976E-06,0.204230234142669,8.52943636323158E-06,0.244413250180017
9.82591278266464E-06,0.318864845653778,1.10215220890211E-05,0.32387188811839,1.10537445422157E-05,0.288315814414839,7.83114047886743E-06,0.209100366677551,9.00329393896667E-06,0.257991764078906
9.99748490607042E-06,0.324432605093369,1.12007388031608E-05,0.329138243810642,1.13012558830581E-05,0.294771675009349,8.09193792695304E-06,0.216063955463939,9.47715151470176E-06,0.271570277977796
1.0186384677701E-05,0.330562671363779,1.14038103017764E-05,0.33510558200118,1.15543642140199E-05,0.301373522401221,8.28220524756895E-06,0.22114430954709,9.95100909043685E-06,0.285148791876686
1.03906236789075E-05,0.337190517451636,1.16766111703986E-05,0.343121945955939,1.17832189211304E-05,0.307342760337853,8.47706522764801E-06,0.226347292866731,1.04248666661719E-05,0.298727305775576
1.05471406325442E-05,0.342269715218548,1.19185231514302E-05,0.350230627444969,1.20046109747482E-05,0.313117349211334,8.6857031861165E-06,0.231918163895841,1.0898724241907E-05,0.312305819674466
1.07425737797349E-05,0.348611798818611,1.21821491029462E-05,0.357977382746541,1.22427939987246E-05,0.319329898476904,8.99636379408765E-06,0.240213155821262,1.13725818176421E-05,0.325884333573355
1.09789115391283E-05,0.3562812952652,1.24384351207774E-05,0.365508451125563,1.24365120456401E-05,0.3243826637412,9.29127814104232E-06,0.248087704650146,1.18464393933772E-05,0.339462847472245
1.11811621216861E-05,0.362844614339684,1.26124527152236E-05,0.370622028581009,1.27437246144243E-05,0.332395716840917,9.52714400918515E-06,0.254385591867018,1.23202969691123E-05,0.353041361371135
1.14121027447472E-05,0.370338966035689,1.2813689230418E-05,0.37653544504091,1.30304148861035E-05,0.33987348501697,9.74299900395286E-06,0.260149165982041,1.27941545448474E-05,0.366619875270025
1.16617913150679E-05,0.378441715286352,1.30259356461398E-05,0.382772391884635,1.32701526295575E-05,0.346126586170697,9.96082228134763E-06,0.265965295484131,1.32680121205825E-05,0.380198389168915
1.18489867278567E-05,0.384516472688157,1.32767167137073E-05,0.390141695071745,1.3519529633773E-05,0.352631109030994,1.02121063634024E-05,0.272674866566361,1.37418696963176E-05,0.393776903067805
