E1_C01_X,E1_C01_Y,E1_C02_X,E1_C02_Y,E1_C03_X,E1_C03_Y,E1_C04_X,E1_C04_Y,E1_C05_X,E1_C05_Y,MEAN_X,MEAN_Y
1.17744552122168E-05,0.405329372648121,1.33990343852261E-05,0.405503964459568,1.34360586582211E-05,0.404119476785853,1.41540006737152E-05,0.41299934777298,1.51245981760661E-05,0.443054579519722,6.5169194466341E-05,1.99727940432663
1.30379921321864E-05,0.448825960631031,1.47647761820674E-05,0.446836324473353,1.48956985212342E-05,0.448021406119551,1.58078897130583E-05,0.461258148255168,1.65349696184977E-05,0.484369497054656,7.1686113912975E-05,2.19700734475929
1.44115706896534E-05,0.496110673591961,1.6126088546054E-05,0.488034633589797,1.65278412771489E-05,0.497111745283596,1.73506057322614E-05,0.506273033051168,1.80746631457263E-05,0.529472729573916,7.82030333596091E-05,2.39673528519196
1.62861623496083E-05,0.560642496746934,1.80706095692322E-05,0.546882977522937,1.81747278700638E-05,0.546645538279294,1.94826910500149E-05,0.568485114704081,1.98638722247982E-05,0.581885181592344,8.47199528062432E-05,2.59646322562462
1.81516917570634E-05,0.624862356668423,1.9589905038367E-05,0.592862435311245,1.96785992440773E-05,0.591877829107953,2.12279551744046E-05,0.619410147257108,2.15572308174912E-05,0.631489823681213,9.12368722528773E-05,2.79619116605728
1.98126731795235E-05,0.682040760748416,2.09645057009174E-05,0.634462897119714,2.18695334222971E-05,0.657775068491666,2.27173690606639E-05,0.662869730011786,2.36628986452425E-05,0.693172505308343,9.77537916995114E-05,2.99591910648995
2.10956292119926E-05,0.726205841374506,2.25797722152356E-05,0.683346791017099,2.33734047963106E-05,0.703007359320325,2.44641561031377E-05,0.713839199765994,2.50747915239659E-05,0.734531991254858,0.000104270711146146,3.19564704692261
2.29533909744479E-05,0.790158304238723,2.43131569390103E-05,0.735805375510271,2.48300958919238E-05,0.746820597887693,2.61119534701443E-05,0.761920251443459,2.71728521702585E-05,0.795991830824086,0.00011078763059278,3.39537498735527
2.44370111694123E-05,0.841231142177673,2.5996341423766E-05,0.786744716500233,2.6295633289737E-05,0.790899908754053,2.80277844199543E-05,0.817822250528719,2.8819046237908E-05,0.844214852153966,0.000117304550039414,3.59510292778794
2.57678676793802E-05,0.887045171323606,2.76987201175584E-05,0.838264944712011,2.83273340283553E-05,0.852007846755908,2.9815690250699E-05,0.869991524714805,3.02994037497591E-05,0.887579916621594,0.000123821469486048,3.7948308682206
2.71310893768475E-05,0.93397335487484,2.96269998869364E-05,0.896621768688231,3.00494141899708E-05,0.903803254293039,3.14238917475188E-05,0.916917209161573,3.24278931218863E-05,0.949931124422428,0.000130338388932682,3.99455880865326
2.84580620643155E-05,0.979653685492138,3.18697693889924E-05,0.964496206375733,3.14810407626837E-05,0.946862621346596,3.33823644036839E-05,0.974063449879892,3.39630223402397E-05,0.994900651706947,0.000136855308379316,4.19428674908593
2.96685200767864E-05,1.02132306025036,3.41568332195946E-05,1.03371115303666,3.33269691551003E-05,1.00238304106962,3.56073477245681E-05,1.03898620080482,3.57780958362709E-05,1.04807076672224,0.00014337222782595,4.39401468951859
3.12401735817486E-05,1.07542639817172,3.64689971697064E-05,1.10368572144918,3.52554630347177E-05,1.0603868022499,3.72246867298925E-05,1.08617850845868,3.73269179812498E-05,1.09344140971098,0.000149889147272584,4.59374262995125
3.25995114567159E-05,1.12222088319432,3.85995543727787E-05,1.16816420307069,3.69126703135327E-05,1.11023101292775,3.91131051541885E-05,1.14128063792269,3.89487690682317E-05,1.14095133645558,0.000156406066719218,4.79347057038391
3.38177371141866E-05,1.16415765500981,4.0687293724923E-05,1.23134685935122,3.84858377214468E-05,1.15754753676518,4.06131794670365E-05,1.18505128108563,4.04412980704166E-05,1.18467294821585,0.000162922986165852,4.99319851081658
3.52845274116514E-05,1.214651132658,4.22213539702398E-05,1.277773153464,4.00295174553608E-05,1.20397715293931,4.20675662373613E-05,1.22748880821315,4.20205489412301E-05,1.23093495943619,0.000169439905612486,5.19292645124924
3.65273506116215E-05,1.25743466182152,4.41215806648719E-05,1.33528098842372,4.14522977258736E-05,1.24677044769387,4.40625889275449E-05,1.2857015417598,4.39375586688071E-05,1.28709115802737,0.000175956825059121,5.3926543916819
3.79061075990883E-05,1.3048976394873,4.62683791217445E-05,1.40025099000215,4.35282299754923E-05,1.30920874719069,4.54971777627762E-05,1.32756138527198,4.61162554385613E-05,1.35091312341035,0.000182473744505755,5.59238233211457
3.93016944840547E-05,1.35293997744383,4.77965334565885E-05,1.44649854958514,4.49067787350047E-05,1.35067168045029,4.73033586105303E-05,1.38026390587223,4.83162523163997E-05,1.41535904655546,0.000188990663952389,5.79211027254723
4.14144939240039E-05,1.42567197702181,5.00437323914991E-05,1.51450703816998,4.76078496734291E-05,1.43191242240922,4.88506433839857E-05,1.42541210227177,5.0354976947315E-05,1.47508071807306,0.000195507583399023,5.99183821297989
4.28579812864692E-05,1.47536326349819,5.15763161591977E-05,1.56088864865032,4.93623662764449E-05,1.48468342837598,5.03202593351515E-05,1.4682940014111,5.26295242034481E-05,1.5417104933856,0.000202024502845657,6.19156615341256
4.46069960189272E-05,1.5355721675606,5.3535601958558E-05,1.62018382890793,5.12466286450618E-05,1.5413568280613,5.19406441766442E-05,1.51557518346732,5.43715687574764E-05,1.59274132464504,0.000208541422292291,6.39129409384522
4.66006915688792E-05,1.60420407892708,5.51759685923857E-05,1.66982734455692,5.28846689357766E-05,1.59062454875801,5.35153414756136E-05,1.56152324948811,5.60907917671288E-05,1.64310362973077,0.000215058341738925,6.59102203427788
4.8270735243839E-05,1.66169444624055,5.74320263930056E-05,1.73810393493645,5.48205347338941E-05,1.64885003685412,5.52194868117323E-05,1.61124847760926,5.80564874560411E-05,1.70068601749251,0.000221575261185559,6.79074997471055
4.95252099113089E-05,1.70487907098998,5.89838043697409E-05,1.7850664326386,5.67947345082118E-05,1.70822850491252,5.67332673873373E-05,1.65541905558283,5.99445898940753E-05,1.75599541626366,0.000228092180632193,6.99047791514321
5.07628546812791E-05,1.74748433544865,6.09165135719735E-05,1.84355730751216,5.8695215097529E-05,1.76538970381266,5.84891919383158E-05,1.70665514854412,6.17353204094389E-05,1.80845243669367,0.000234609100078827,7.19020585557587
