E1_Z05_X,E1_Z05_Y,E1_Z06_X,E1_Z06_Y,E1_Z07_X,E1_Z07_Y,E1_Z08_X,E1_Z08_Y,E1_Z09_X,E1_Z09_Y,MEAN_X,MEAN_Y
2.65614386768683E-05,0.901765764335252,3.57292878275357E-05,1.0606140294938,7.45706233809775E-05,2.39711755544769,9.43041715342092E-05,2.82683695059994,6.39922601808787E-05,1.75860911769441,0.000369795227943598,11.3333242010643
2.81139999378068E-05,0.954475506799871,3.72009853883824E-05,1.10430096464181,7.58911839720798E-05,2.43956777018964,9.28826885967849E-05,2.78422695332425,6.54351533193333E-05,1.7982621166973,0.000375233393060416,11.4999907334329
2.94261700004114E-05,0.999023923541805,3.85926776911031E-05,1.14561296582495,7.73233015234389E-05,2.48560405053946,9.42277225086518E-05,2.82454533479157,6.69728100166559E-05,1.84051936906114,0.000380671558177233,11.6666572658015
3.0818066843758E-05,1.04627907926157,3.72671162724743E-05,1.10626404164992,7.86294375818522E-05,2.52759057999932,9.59621078763502E-05,2.8765348127142,6.85082424355898E-05,1.88271549471615,0.000386109723294051,11.8333237981701
2.94486778788646E-05,0.999788070185512,3.86786859420774E-05,1.14816609697259,8.0064110002874E-05,2.57370898817164,9.75268221802338E-05,2.92343827561929,7.02131022979066E-05,1.92956775606443,0.000391547888410869,11.9999903305387
2.80097982297793E-05,0.950937839506033,4.00143955739415E-05,1.18781626805138,8.12996867406488E-05,2.61342734581619,9.88501507758465E-05,2.96310602425655,7.1636237212925E-05,1.96867776765312,0.000396986053527686,12.1666568629073
2.65160864780403E-05,0.900226048782266,3.8636329448575E-05,1.14690875617516,8.27267087883303E-05,2.65929982813449,0.000100155366185914,3.00223081682558,7.31835696498431E-05,2.01120092473457,0.000402424218644504,12.3333233952759
2.79116351641368E-05,0.947605185239994,3.71778419468542E-05,1.10361395797954,8.44062804801854E-05,2.71329067071615,9.86831939102695E-05,2.95810136932887,7.53115210377713E-05,2.06968041432039,0.000407862383761321,12.4999899276445
2.94934905610055E-05,1.00130946904701,3.90371966910172E-05,1.15880838942145,8.57988696416552E-05,2.75805628718995,0.000100512994183975,3.01295097928544,7.68331643843003E-05,2.11149759432812,0.000413300548878139,12.666656460013
3.12827986273919E-05,1.0620568094206,4.0374452890059E-05,1.19850446991926,8.73263675003293E-05,2.80715862490584,0.000102138819650997,3.06168629428407,7.85709334004635E-05,2.15925425158062,0.000418738713994957,12.8333229923816
3.25794047990898E-05,1.10607682918261,4.21420469036421E-05,1.25097500944707,8.87132173976554E-05,2.8517397492806,0.000103692977361701,3.10827331553884,8.01414756259052E-05,2.20241525057611,0.000424176879111774,12.9999895247502
3.10782843944263E-05,1.05511351331939,4.06483764853566E-05,1.20663581610182,9.00441250976782E-05,2.89452257806434,0.000105104009256359,3.15057003511551,8.17711212755891E-05,2.24720050569985,0.000429615044228592,13.1666560571188
2.99076948726756E-05,1.01537178217124,3.92400197425635E-05,1.16482913562308,9.13458403890374E-05,2.93636699930741,0.000106453240352805,3.19101423027978,8.3188411721813E-05,2.28614990198786,0.00043505320934541,13.3333225894874
2.8506741228233E-05,0.967809146376241,4.07958051016908E-05,1.21101219381155,9.26994992950613E-05,2.97988117929676,0.000107865071275567,3.23333490131195,8.46939578000917E-05,2.32752470345426,0.000440491374462227,13.499989121856
2.9770909711781E-05,1.01072790061556,4.22580568744541E-05,1.25441873335219,9.41570586238215E-05,3.02673530088868,0.000109205654274765,3.27351986339611,8.65304072558886E-05,2.37799325618267,0.000445929539579045,13.6666556542246
3.13917373099938E-05,1.0657552978789,4.37427120643376E-05,1.29849031213517,9.53913755177852E-05,3.06641316009591,0.000110575488310067,3.31458164681655,8.79914055705329E-05,2.41814381423153,0.000451367704695862,13.8333221865932
3.28061577703248E-05,1.11377513456842,4.51112843434376E-05,1.33911600181016,9.67300254493806E-05,3.10944486757182,0.00011242814809607,3.37011648747907,8.96730503163195E-05,2.46435808724367,0.00045680586981268,13.9999887189618
3.39570765983748E-05,1.15284904202089,4.6665715532519E-05,1.38525886183526,9.80727042163747E-05,3.15260608438565,0.00011385524369673,3.41289472846624,9.11802241073078E-05,2.50577762084492,0.000462244034929498,14.1666552513304
3.25192369072354E-05,1.10403411810635,4.81126566045176E-05,1.42821090745734,9.93574654312888E-05,3.19390550664064,0.000112348948225575,3.36774241306905,9.29320463863241E-05,2.55392048411855,0.000467682200046315,14.333321783699
3.11066658787596E-05,1.05607706997098,4.6794271125642E-05,1.38907499906963,0.000100630131487772,3.23481612275057,0.000113755180734562,3.40989526752784,9.44153947535839E-05,2.59468525717089,0.000473120365163133,14.4999883160676
3.2958783793983E-05,1.11895681634989,4.84350060308738E-05,1.43777976104442,0.000102222938232093,3.28601785388995,0.000115212889956932,3.45359117435772,9.59073139955394E-05,2.63568557149564,0.000478558530279951,14.6666548484362
3.42134890343094E-05,1.1615542917285,4.9773689908908E-05,1.47751822179835,0.000103674441252384,3.33267729180223,0.000113775677629421,3.41050967703718,9.74639309503968E-05,2.67846388190118,0.000483996695396768,14.8333213808048
3.26846928326884E-05,1.10965137743086,5.1258195713929E-05,1.521585366133,0.000102357112687489,3.2903309724873,0.000115385100197668,3.4587533030723,9.90645022427424E-05,2.72245012742967,0.000489434860513586,14.9999879131733
3.14032289382841E-05,1.06614544078851,5.26288697190397E-05,1.56227344496346,0.000104113437063668,3.34678907628631,0.000116783056400987,3.50065806917728,0.000100675502493226,2.76672297731964,0.000494873025630403,15.1666544455419
3.29373309710989E-05,1.11822848903823,5.42703914059587E-05,1.61100156233508,0.000105366317927344,3.38706368546934,0.000118416364476978,3.54961768088701,0.000102683712199503,2.82191177499171,0.000500311190747221,15.3333209779105
